iter	Passed	Remaining
428	1839	19594
429	1842	19583
430	1848	19599
431	1852	19590
432	1856	19583
433	1862	19589
434	1869	19618
435	1873	19608
436	1878	19614
437	1884	19628
438	1888	19617
439	1892	19618
440	1898	19627
441	1903	19632
442	1908	19627
443	1913	19639
444	1917	19631
445	1921	19620
446	1927	19629
447	1933	19641
448	1936	19630
449	1943	19646
450	1946	19635
451	1950	19622
452	1953	19610
453	1960	19631
454	1966	19639
455	1970	19639
456	1976	19648
457	1980	19644
458	1985	19644
459	1991	19654
460	1997	19662
461	2000	19654
462	2005	19651
463	2010	19654
464	2014	19649
465	2018	19638
466	2023	19636
467	2030	19658
468	2034	19652
469	2041	19674
470	2046	19677
471	2049	19664
472	2054	19664
473	2061	19680
474	2064	19667
475	2069	19673
476	2074	19666
477	2077	19655
478	2082	19651
479	2090	19685
480	2097	19701
481	2104	19726
482	2109	19729
483	2114	19725
484	2124	19777
485	2130	19785
486	2138	19821
487	2143	19818
488	2148	19819
489	2154	19828
490	2159	19830
491	2164	19832
492	2170	19839
493	2173	19829
494	2177	19818
495	2185	19846
496	2190	19848
497	2194	19838
498	2200	19847
499	2203	19834
500	2207	19821
501	2212	19819
502	2217	19825
503	2222	19822
504	2225	19808
505	2230	19814
506	2234	19802
507	2238	19790
508	2241	19776
509	2245	19772
510	2250	19769
511	2255	19766
512	2260	19768
513	2264	19766
514	2268	19756
515	2272	19744
516	2276	19742
517	2281	19742
518	2287	19747
519	2291	19746
520	2296	19739
521	2300	19732
522	2304	19723
523	2309	19727
524	2316	19746
525	2320	19738
526	2326	19743
527	2331	19743
528	2335	19742
529	2342	19755
530	2351	19792
531	2360	19821
532	2366	19836
533	2373	19850
534	2379	19858
535	2386	19873
536	2393	19892
537	2397	19886
538	2402	19883
539	2409	19903
540	2416	19914
541	2422	19926
542	2427	19928
543	2432	19928
544	2439	19937
545	2445	19950
546	2450	19946
547	2455	19948
548	2460	19946
549	2465	19945
550	2471	19953
551	2478	19972
552	2485	19989
553	2491	19991
554	2496	19991
555	2502	19998
556	2507	20002
557	2513	20007
558	2519	20015
559	2524	20019
560	2529	20011
561	2534	20014
562	2542	20034
563	2547	20033
564	2553	20044
565	2558	20043
566	2563	20044
567	2570	20053
568	2576	20064
569	2584	20083
570	2590	20092
571	2595	20092
572	2601	20102
573	2606	20099
574	2611	20094
575	2616	20094
576	2624	20116
577	2628	20111
578	2634	20114
579	2639	20111
580	2643	20105
581	2648	20106
582	2654	20112
583	2660	20116
584	2665	20118
585	2670	20113
586	2674	20108
587	2680	20111
588	2686	20116
589	2691	20115
590	2696	20119
591	2702	20123
592	2707	20119
593	2712	20122
594	2719	20130
595	2725	20139
596	2731	20146
597	2736	20142
598	2741	20139
599	2747	20148
600	2755	20166
601	2761	20175
602	2769	20196
603	2774	20191
604	2779	20192
605	2786	20206
606	2791	20205
607	2799	20221
608	2805	20229
609	2814	20252
610	2820	20258
611	2825	20261
612	2832	20271
613	2836	20264
614	2843	20276
615	2851	20292
616	2857	20299
617	2868	20336
618	2873	20340
619	2881	20353
620	2886	20355
621	2893	20364
622	2898	20363
623	2903	20358
624	2908	20357
625	2914	20363
626	2919	20362
627	2925	20367
628	2930	20367
629	2936	20367
630	2941	20369
631	2947	20372
632	2953	20376
633	2960	20386
634	2965	20383
635	2970	20385
636	2977	20396
637	2983	20395
638	2989	20404
639	2994	20398
640	2999	20395
641	3004	20392
642	3010	20397
643	3014	20393
644	3022	20407
645	3027	20404
646	3032	20400
647	3039	20410
648	3045	20418
649	3056	20455
650	3062	20456
651	3068	20463
652	3074	20467
653	3079	20467
654	3087	20478
655	3093	20484
656	3104	20519
657	3110	20527
658	3116	20532
659	3123	20542
660	3131	20556
661	3139	20572
662	3145	20578
663	3154	20597
664	3165	20637
665	3176	20669
666	3184	20686
667	3190	20690
668	3197	20699
