iter	MAE
0	0.3074289403
1	0.3030908258
2	0.2986464636
3	0.2941705917
4	0.2902040057
5	0.2858934539
6	0.2854218638
7	0.281472712188	0.277472709299	0.2734970171
10	0.2696357057
11	0.2656842586
12	0.2620282581
13	0.2583081564
14	0.2546728658
15	0.251346775
16	0.2481894488
17	0.244808121
18	0.2417437757
19	0.2388512089
20	0.2356902303
21	0.2324781203
22	0.2295140738
23	0.2265519185
24	0.2236782675
25	0.2209304701
26	0.2183174061
27	0.2156469557
28	0.2131250917
29	0.2107420497
30	0.2086575338
31	0.2063487429
32	0.2041443808
33	0.2021590484
34	0.2001218449
35	0.1979083968
36	0.1959338565
37	0.1940137281
38	0.1920511197
39	0.1903670106
40	0.188469741	041	0.18649442	0.42	0.1844443	0.1788936879444	0.1770155801445	0.1753502222446	0.1735578398447	0.1716470456
48	0.1700903194949	0.1682462195050	0.1666532365151	0.1652037115252	0.1639656765353	0.1625006655454	0.1609828905555	0.1594920655656	0.1581054157	57	0.1567415841
58	0.1553150759	59	0.153924160	60	0.152609861	061	0.151402562	62	0.1500592504
63	0.1489762248
64	0.1480395
65	0.1467703591
66	0.1455889295
67	0.144334795
68	0.1431923578
69	0.1421074074
70	0.1409839193
71	0.1398218365
72	0.1387967603
73	0.1376668457
74	0.1366631038
75	0.1357124505
76	0.1346717447
77	0.1337594068
78	0.1327801113
79	0.1320177788
80	0.1312398131
81	0.1303943292
82	0.12959354
83	0.1286311297
84	0.127622094
85	0.1268791137
86	0.1258997602
87	0.1251384818
88	0.1242637305
89	0.1233159439
90	0.1225134884
91	0.1218727028
92	0.1211492636
93	0.1205229071
94	0.1198568198
95	0.1191082445996	0.1185081255997	0.1178696917998	0.1172500659999	0.11651895771100	0.11584796471101	0.11518843471102	0.11454640721103	0.11385914161104	0.1131951579
105	0.1123760364
106	0.1117443765
107	0.1110812735
108	0.1104765557
109109109	0.11322110110110	0.1125637467
111	0.11187112	0.112	0.11144113	0.113	0.11085114	0.114	0.11024115	0.115	0.1096116	0.1116	0.1089117	0.1117	0.1085118	0.1118	0.1079904005
119	0.1074706977
120	0.1069086989
121	0.1064046723
122	0.1059717897
123	0.1054893126
124	0.1050844063
125	0.1045245619
126	0.1039183841
127	0.1034937821
128	0.1029533375
129	0.1024786788
130	0.101916332
131	0.1016094881
132	0.1011506171
133	0.1007341263
134	0.1003007759
135	0.09998355034
136	0.09960044917
137	0.09918552826
138	0.09886361347
139	0.09844050175
140	0.09807981606
141	0.09773621603
142	0.09745956563
143	0.09714171103
144	0.09682727719
145	0.09652894888
146	0.09616352213
147	0.09585092318
148	0.09547016733
149	0.09529713123
150	0.09501552299
151	0.09469271477
152	0.09435554097
153	0.09412326632
154	0.09378288056
155	0.09342362436
156	0.09305018825
157	0.09276351815
158	0.09245427918
159	0.09214657672
160	0.09191832496
161	0.09160301959
162	0.09133062634
163	0.09102480618
164	0.09083563361
165	0.09057486849
166	0.09034997312
167	0.0901279821
168	0.08988799804
169	0.08966698339
170	0.08941209148
171	0.08916927402
172	0.08890688327
173	0.08875213775
174	0.08852844286
175	0.08831690466
176	0.08813866681
177	0.08790357015
178	0.08775663205
179	0.08754971628
180	0.08736753693
181	0.08716173042
182	0.08698893272
183	0.08681759902
184	0.08666023717
185	0.08656281363
186	0.0863466704
187	0.08616425092
188	0.08600076039
189	0.08584844205
190	0.08567941868
191	0.08550185023
192	0.08528865724
193	0.08520663675
194	0.08504956639
195	0.08492952996
196	0.08479605494
197	0.08465089923
198	0.08457252491
199	0.08445039786
200	0.08431262632
201	0.08413371764
202	0.08393215584
203	0.08382207618
204	0.08370087455
205	0.08352127181
206	0.08327737297
207	0.08312679412
208	0.08298127995
209	0.08282211837
210	0.08267480965
211	0.08256943615
212	0.08236221214
213	0.08218160078
214	0.08209639808
215	0.0819418092
216	0.08183471126
217	0.08172553082
218	0.08159447054
219	0.08152016214
220	0.08137919506
221	0.08124743651
222	0.08113764033
223	0.08103304834
224	0.08088272792
225	0.0807795054
226	0.08057913294
227	0.08046255799
228	0.08032459107
229	0.08023064209
230	0.08011000978
231	0.08001984194
23233	0.080228942923234	0.080112765923235	0.0800088634235	0.07965555428
236	0.07954603252
237	0.07941141608
238	0.07928176835
239	0.07915517857
240	0.07901883979
241	0.07891359949
243	0.07916582975243	0.07870893133
244	0.07862311925
245	0.07851854673
246	0.07844935803
247	0.0783117965
248	0.07821693114
24250	0.078428599025251	0.078347757125252	0.078215062625253	0.078097380225254	0.077940323325255	0.077836540725256	0.07772667372257	0.07762062
258	0.07753862488
259	0.07747475498
260	0.07738124288
261	0.07729695108
262	0.07717788322
263	0.07707479301
264	0.076979586032265	0.076894589982266	0.076844488392267	0.076737350342268	0.07664977652
269	0.0765635092
270	0.07648193956
271	0.07636932567
272	0.076260630312273	0.076191441122274	0.0761049125
275	0.07603982372
276	0.07595481889
277	0.07591478766
278	0.07583715953
279	0.07576903635
280	0.07567738174
280	0.0752912567
281	0.07521781449
282	0.07515480941
2284	0.075392512472285	0.0753202503285	0.07488657494
286	0.07483386993
287	0.07472625562
288	0.07462212438
289	0.07456774928
290	0.07444668153
291	0.07436035891
292	0.07425732212
293	0.0741483013
294	0.07407719143
295	0.0739852771
296	0.07389739852
297	0.07382507147
298	0.07374508586
299	0.07366035606
300	0.07361003064
301	0.07351900761
302	0.07343614522
303	0.0733241491
304	0.07325628586
305306	0.0738858306	0.07315859409
307	0.07309947309
308	0.07304031877
309	310	0.07355466310	0.07288421439
311	0.07282633259
312	0.07272915966
313	0.07265010212
314	0.07259356767
315	0.07252113413
316	0.07242050717
317	318	0.07298403318	319	0.07290143319	0.0722077641
320	0.07214341637
321	0.07207062885
322	0.07200453304
323	0.07191269042
324	0.07184085102
325	0.0717391769
326	0.07167919465
327	0.07161766475
328	0.07155457257
329	0.07149312722
330	0.07143092204
331	0.07137327932
332	0.07132200819
333	0.07126345891
334	0.07119338002
335	0.07111533238
336	0.07104011175
337	0.07096958157
338	0.07089729482
339	0.07084095393
340	0.07077856196
341	0.07072926552
342	0.07068949878
343	0.07059966799
344	0.07054519797
345	0.07047402469
346	0.07040666759
347	0.07033138862
348	0.07028839214
349	0.07020046722
350	0.07013328397
351	0.07008918724
352	0.07000467176
353	0.06991723633
354	0.0698485915
355	0.06980182674
356	0.06975698758
357	0.06970357303
358	0.06964543361
359	0.06956338145
360	0.06951295429
361	0.06946638678
362	0.06942309014
363	0.06936349489
364	0.0693082985
365	0.06926325615
366	0.06920056698
367	0.06912157622
368	0.06904838432
369	0.06901441963
370	0.06896083696
371	0.0689260295
372	0.06888323161
373	0.06883449534
374	0.06876405642
375	0.06872563698
376	0.06867614827
377	0.06861382046
378	0.06853369419
379	0.06846827804
380	0.06842458298
381	0.06836999985
382	0.06833678066
383	0.06829142239
384	0.06824405716
385	0.06815365425
386	0.06809505993
387	0.06803706999
388	0.06799031848
389	0.06795020863
390	0.06790005433
391	0.0678561503
392	0.06779920301
393	0.06771219113
394	0.06764814576
395	0.06758206141
396	0.06745813923
397	0.06737087517
398	0.06732871843
399	0.06723649698
400	0.06717274569
401	0.06708075058
402	0.06702610301
403	0.0669801988
404	0.06691764264
405	0.06683424009
406	0.06677222038
407	0.06673797319
408	0.06663810616
409	0.06655486728
410	0.0664948287
411	0.06644062537
412	0.06638725724
413	0.06636541593
414	0.06630486121
415	0.06623552372
416	0.06617709953
417	0.06611836593
418	0.06606341995
419	0.06600762155
420	0.06595392691
421	0.0659108055
422	0.06586094977
423	0.06581268138
424	0.06574152675
425	0.06565772569
426	0.06559901055
427	0.06555084852
428	0.06546747431
429	0.06542512548
430	0.065360533784431	0.06532729334
432	0.06525520216
433	0.06521590197
434	0.06517941023
435	0.06514841593
436	0.065102963044437	0.065047024274438	0.06499864405
439	0.064954534144440	0.064878471414441	0.064819877934442	0.0647737268
443	0.064712480674444	0.064682592634445	0.064621400644446	0.064574281314447	0.064521019444448	0.064466346945449	0.0644272785451	0.06547512481
45451	0.064313336345452	0.064245928745453	0.064214487845454	0.064168014345455	0.064087719245456	0.0639920076458	0.06520635238
45458	0.0639220989460	0.0650750542
461	0.06501151675
462	0.06497614285
463	0.06492916707
464	0.06486946917
465464	0.063552240466465	0.063502843467466	0.063464319468467	0.063415517469468	0.063359488470469	0.06330742647470	0.063273013472471	0.06320379947472	0.063164138147473	0.063086835847474	0.063030765347475	0.062989361147476	0.062947623478477	0.062885691479478	0.062842468480479	0.062784066481480	0.062726014482481	0.062693234483482	0.062641153484483	0.062587569485484	0.062511469486485	0.062431505487486	0.062394808488487	0.062328046489488	0.06227911349489	0.062227849549490	0.062195973149491	0.062156768049492	0.062108162494493	0.062071975495	0.06344140468
496	0.06339332282
497496	0.061886020498497	0.061848679499498	0.061776634500499	0.061743271501500	0.061704673502501	0.061658322503502	0.061614985504503	0.061562311505504	0.061514270506505	0.061479315507506	0.061432490508507	0.061381833509508	0.061334017510509	0.061266251511510	0.061238270512511	0.061201928513512	0.061152490514513	0.061108828515514	0.061052301516515	0.061008662517516	0.06096646518	517	0.06091184519	518	0.06086970520	519	0.06083322521	520	0.06078904522	521	0.06075436523	522	0.0607105524	0523	0.0606560525	0524	0.0606109526	0525	0.0605735527	0526	0.06053517683
527	0.06050321996
528	0.06045619707
529	0.06041668409
530	0.06038537315
531	0.06035090447
532	0.06029795787
533	0.06024893287
534	0.06020593173
535	0.06016845412
536	0.06011388051
537	0.06008108286
538	0.06002207864
539	0.05994706622
540	0.05989568326
541	0.05986315069
542	0.05982752731
543	0.05979829134
544	0.05975824794
545	0.05972222938
546	0.05968249105
547	0.05963595336
548	0.05956892146
549	0.05952496807
550	0.05945990097
551	0.0594193921
