iter	RMSE
188	16287.49947
189	16262.31934
190	16225.5413
191	16214.14156
192	16186.53085
193	16142.06779
194	16091.1983
195	16055.45046
196	16017.6836
197	15983.90582
198	15948.12582
199	15937.01411
200	15901.83604
201	15881.05178
202	15863.16319
203	15852.22378
204	15822.24645
205	15786.19009
206	15758.26281
207	15744.54281
208	15723.01967
209	15690.43881
210	15656.25219
211	15647.17357
212	15609.26845
213	15600.23101
214	15579.10847
215	15549.10413
216	15541.15757
217	15508.77083
218	15481.30914
219	15457.3464
220	15450.14972
221	15422.66124
222	15403.44007
223	15390.40847
224	15382.78051
225	15341.78919
226	15314.79387
227	15297.83528
228	15268.46975
229	15237.81631
230	15229.68667
231	15201.23003
232	15159.98047
233	15123.24896
234	15092.3316
235	15083.68678
236	15060.55163
237	15037.04163
238	15013.02089
239	14986.26262
240	14979.6606
241	14953.26275
242	14909.39081
243	14899.92681
244	14874.81896
245	14838.5115
246	14823.8995
247	14811.72773
248	14799.44086
249	14779.09042
250	14763.68096
251	14730.36887
252	14709.30381
253	14675.84149
254	14650.8519
255	14621.02706
256	14603.71514
257	14571.1951
258	14540.19505
259	14526.5712
260	14501.06952
261	14473.09192
262	14448.65975
263	14441.01276
264	14415.35567
265	14383.25418
266	14356.00899
267	14329.90678
268	14320.65374
269	14312.6578
270	14289.96247
271	14276.64506
272	14271.70057
273	14241.82426
274	14221.37973
275	14202.84216
276	14179.60174
277	14169.73453
278	14143.86794
279	14129.02672
280	14105.44054
281	14089.86139
282	14071.15179
283	14042.78448
284	14024.96375
285	14000.6009
286	13980.95946
287	13953.85904
288	13924.78182
289	13903.72993
290	13873.82622
291	13857.58039
292	13834.1167
293	13817.84704
294	13791.05682
295	13776.34615
296	13746.65981
297	13714.07066
298	13693.40017
299	13665.89005
300	13647.28437
301	13628.36488
302	13611.61279
303	13589.22788
304	13559.13826
305	13545.40876
306	13516.37412
307	13497.63364
308	13471.17592
309	13454.91371
310	13432.75735
311	13410.57085
312	13384.33074
313	13368.9845
314	13357.77661
315	13340.34059
316	13323.50482
317	13306.03221
318	13280.56953
319	13262.33613
320	13254.3376
321	13235.91992
322	13218.43973
323	13191.3945
324	13170.27871
325	13151.65608
326	13125.22369
327	13100.54768
328	13071.49272
329	13047.55862
330	13034.99229
331	13003.54611
332	12969.81739
333	12943.49555
334	12929.91632
335	12913.17871
336	12903.87166
337	12895.67648
338	12877.14232
339	12858.38745
340	12847.36102
341	12830.97822
342	12806.44206
343	12794.34384
344	12779.8606
345	12765.73375
346	12761.0766
347	12739.25545
348	12716.96382
349	12698.14925
350	12675.57144
351	12659.23148
352	12640.50305
353	12617.07869
354	12604.52623
355	12590.24685
356	12573.34846
357	12550.04996
358	12534.218
359	12512.64672
360	12496.24509
361	12476.08193
362	12461.0624
363	12441.43589
364	12423.45649
365	12418.09121
366	12395.16066
367	12382.36689
368	12371.49668
369	12351.16499
370	12345.32991
371	12332.91681
372	12330.31089
373	12309.14156
374	12298.29465
375	12274.06142
376	12258.97324
377	12246.85544
378	12227.42324
379	12214.0837
380	12203.8601
381	12187.98403
382	12185.66028
383	12167.14892
384	12154.76536
385	12136.19717
386	12117.51019
387	12107.89293
388	12092.86796
389	12068.1941
390	12058.35582
391	12043.42292
392	12031.75539
393	12015.19627
394	12000.15898
395	11978.81731
396	11960.67518
397	11949.5148
398	11939.55622
399	11926.15472
400	11915.66894
401	11910.66684
402	11898.20665
403	11874.50877
404	11860.25772
405	11844.06591
406	11822.87002
407	11802.2159
408	11787.78119
409	11768.28971
410	11758.54457
411	11753.34002
412	11739.98251
413	11722.77788
414	11718.63649
415	11716.81549
416	11702.02574
417	11686.22039
418	11676.44636
419	11665.72326
420	11647.15841
421	11632.35039
422	11602.85766
423	11586.12375
424	11574.06854
425	11555.77499
426	11542.37228
427	11540.60212
428	11521.40154
429	11506.54701
430	11493.60765
431	11475.65894
432	11458.6879
433	11446.19946
434	11427.95083
435	11417.77892
436	11402.0308
437	11387.33773
438	11375.72701
439	11373.96577
440	11358.20554
441	11339.78578
442	11320.58457
443	11295.63367
444	11286.33569
445	11278.67304
446	11276.03194
447	11259.63386
448	11254.13152
449	11242.82977
450	11229.87944
451	11226.63066
452	11211.81487
453	11209.76828
454	11191.71123
455	11189.54495
456	11164.51531
457	11148.53846
458	11134.59102
459	11117.35065
460	11105.11047
461	11090.18217
462	11078.62446
463	11070.31379
464	11060.11039
465	11045.66549
466	11026.42073
467	11011.85247
468	11001.38144
469	10989.28091
470	10967.42467
471	10958.51464
472	10956.67839
473	10955.498
474	10942.44866
475	10927.77614
476	10916.11278
477	10902.55187
478	10888.17986
479	10877.3797
480	10865.2631
481	10859.24697
482	10833.85925
483	10819.99993
484	10806.19386
485	10794.84326
486	10777.93681
487	10760.50103
488	10752.296
489	10743.5583
490	10723.96857
491	10709.47728
492	10695.09436
493	10693.34923
494	10682.1005
495	10668.5879
496	10658.45277
497	10642.181
498	10635.10287
499	10627.30945
500	10607.84578
501	10592.08167
502	10575.92178
503	10561.59469
504	10545.16245
505	10532.64093
506	10524.3719
507	10518.08435
508	10503.58216
509	10488.06148
510	10482.95835
511	10470.45871
512	10454.13818
513	10442.9346
514	10426.45225
515	10412.2277
516	10399.82988
517	10382.32909
518	10362.56141
519	10355.80107
520	10354.11737
521	10343.13
522	10331.76325
523	10322.10688
524	10311.19175
525	10303.34565
526	10288.84637
527	10276.64597
528	10264.12369
529	10256.73539
530	10246.5434
531	10239.23879
532	10232.08588
533	10222.09951
534	10208.96446
535	10198.4708
536	10184.85862
537	10166.68274
538	10151.24556
539	10137.74242
540	10119.85987
541	10108.40712
542	10106.94906
543	10098.06843
544	10084.07911
545	10071.62174
546	10054.02857
547	10046.48052
548	10036.84114
549	10023.23814
550	10009.68578
551	9999.82072
552	9989.662737
553	9983.287343
554	9975.167366
555	9959.72986
556	9948.762061
557	9934.466185
558	9927.837873
559	9915.134466
560	9904.148749
561	9894.496584
562	9890.871184
563	9889.526496
564	9877.965728
565	9864.583112
566	9848.622693
567	9847.398575
568	9834.670289
569	9823.982904
570	9820.39513
571	9802.139302
572	9790.779171
573	9783.25123
574	9772.853343
575	9762.264529
576	9760.962876
577	9747.389904
578	9738.182776
579	9737.321994
580	9727.747975
581	9719.194924
582	9705.982207
583	9699.097194
584	9693.601999
585	9683.41726
586	9672.180849
587	9653.276359
588	9641.803799
589	9628.254858
590	9617.887366
591	9605.989314
592	9594.645713
593	9583.092381
594	9568.44496
595	9560.413106
596	9552.111801
597	9542.918669
598	9531.605858
599	9514.938013
600	9507.480381
601	9500.300067
602	9494.327023
603	9487.678052
604	9473.882485
605	9460.676822
606	9459.573942
607	9450.964179
608	9436.940789
609	9427.487697
610	9413.899295
611	9398.436215
612	9383.352158
613	9367.091715
614	9356.992214
615	9347.377834
616	9336.635096
617	9330.594725
618	9322.275865
619	9316.954942
620	9308.002869
621	9297.385431
622	9293.732508
623	9283.649269
624	9270.598836
625	9269.585403
626	9258.825932
627	9246.324309
628	9240.146057
629	9230.796711
630	9227.233067
631	9225.040722
632	9224.09631
633	9214.61063
634	9202.668548
635	9196.76333
636	9183.788299
637	9171.91353
638	9160.966338
639	9152.614964
640	9144.466303
641	9137.588958
642	9125.840573
643	9116.081983
644	9112.396297
645	9107.552414
646	9104.523077
647	9094.961023
648	9087.221581
649	9078.749363
650	9073.091987
651	9067.847331
652	9057.815177
653	9044.563657
654	9034.337321
655	9025.859328
656	9020.746188
657	9004.550871
658	8994.138851
659	8978.609815
660	8964.967089
661	8957.736186
662	8946.227107
663	8934.188948
664	8919.885824
665	8910.382965
666	8901.612333
667	8891.45243
668	8883.165935
669	8871.362009
670	8862.225935
671	8848.784286
672	8834.323976
673	8824.113973
674	8814.732826
675	8805.602673
676	8798.955289
677	8785.631503
678	8780.563704
679	8772.081311
680	8761.566846
681	8750.851
682	8745.7801
683	8735.949029
684	8720.11167
685	8713.618393
686	8700.617826
687	8695.061833
688	8691.448423
689	8679.672338
690	8670.341846
691	8661.329008
692	8653.170367
693	8642.610805
694	8630.640727
695	8620.641149
696	8610.227094
697	8599.497713
698	8592.310777
699	8583.452144
700	8573.825626
701	8567.060144
702	8560.293389
703	8557.048353
704	8547.151307
705	8540.842953
706	8531.490566
707	8522.668941
708	8511.453776
709	8507.035934
710	8498.886403
711	8486.08543
712	8478.108955
713	8466.188351
714	8459.090363
715	8449.429572
716	8441.999379
717	8435.955096
718	8425.440602
719	8417.80274
720	8407.165705
721	8400.852144
722	8396.18499
723	8380.846431
724	8372.506372
725	8364.979803
726	8354.431066
727	8342.973525
728	8333.939717
729	8323.967955
730	8314.022305
731	8309.075294
732	8299.603399
733	8298.902536
734	8289.976354
735	8280.4245
736	8273.915303
737	8261.093593
738	8251.650583
739	8241.367937
740	8227.66226
741	8217.998752
742	8208.275955
743	8200.091251
744	8192.041224
745	8187.13466
746	8186.458561
747	8177.465751
748	8167.451524
749	8160.407327
750	8152.537983
751	8147.968273
752	8140.852981
753	8133.234359
754	8125.595059
755	8117.266312
756	8112.169898
757	8106.923938
758	8097.62073
759	8090.889016
760	8083.707732
761	8082.427565
762	8074.355493
763	8061.164215
764	8053.852373
765	8052.438641
766	8042.912764
767	8037.86831
768	8030.8392
769	8019.222043
770	8010.044867
771	8002.425978
772	7994.127373
773	7985.621408
774	7976.235151
775	7969.827405
776	7959.491535
777	7953.628221
778	7952.978422
779	7940.975574
780	7931.869548
781	7924.11218
782	7918.700809
783	7909.458021
784	7903.790607
785	7901.542926
786	7896.293918
787	7888.112069
788	7880.96082
789	7878.870287
790	7871.061539
791	7869.735635
792	7869.120252
793	7866.796945
794	7860.597039
795	7851.217704
796	7843.314532
797	7837.062191
798	7830.785672
799	7825.767472
800	7819.372495
801	7805.307628
802	7797.487774
803	7797.087716
804	7786.076653
805	7778.198969
806	7769.875699
807	7766.379963
808	7760.202802
809	7754.444082
810	7745.852503
811	7736.012748
812	7730.721097
813	7722.334221
814	7717.725904
815	7709.758133
816	7699.598578
817	7695.277122
818	7686.120646
819	7681.227166
820	7676.613346
821	7668.913783
822	7662.543353
823	7652.866548
824	7645.001579
825	7644.593397
826	7636.549514
827	7624.594448
828	7615.289736
829	7613.924872
830	7604.930263
831	7599.672949
832	7594.599478
833	7585.724389
834	7576.472656
835	7575.955719
836	7564.897436
837	7554.962501
838	7549.713476
839	7538.570509
840	7531.021412
841	7520.363652
842	7519.843482
843	7515.787341
844	7507.687067
845	7505.378539
846	7500.36368
847	7495.64777
848	7484.980068
849	7480.479378
850	7473.707008
851	7465.773276
852	7459.669043
853	7453.217319
854	7445.915805
855	7437.389993
856	7429.552731
857	7422.321066
858	7416.512874
859	7409.414371
860	7400.715421
861	7398.557416
862	7394.025752
863	7390.054101
864	7384.309065
865	7375.950516
866	7373.038082
867	7372.609129
868	7366.818115
869	7356.760084
870	7346.919447
871	7336.075309
872	7331.203545
873	7326.988387
874	7325.215569
875	7318.64998
876	7314.432222
877	7306.504206
878	7298.389748
879	7292.633518
880	7284.011683
881	7277.438732
882	7270.653993
883	7263.325436
884	7256.190259
885	7250.425792
886	7246.197647
887	7236.223507
888	7230.925967
889	7224.46603
890	7214.362551
891	7208.096259
892	7202.962029
893	7195.833438
894	7187.577468
895	7178.23802
896	7171.362189
897	7165.142165
898	7160.736155
899	7152.211039
900	7146.90977
901	7137.931781
902	7137.563469
903	7130.766286
904	7125.508512
905	7124.855431
906	7119.341034
907	7110.542701
908	7105.295768
909	7097.790176
910	7096.805299
911	7091.113177
912	7090.846588
913	7084.828311
914	7078.869661
915	7070.772566
916	7062.052474
917	7054.494954
918	7045.912362
919	7038.644749
920	7031.724411
921	7025.677399
922	7019.402135
923	7009.698494
924	7004.509369
925	7004.181454
926	6996.954684
927	6989.311429
928	6982.901631
929	6981.653563
930	6981.291669
931	6972.791158
932	6964.608962
933	6958.554917
934	6952.498766
935	6946.989708
936	6940.376311
937	6935.512033
938	6929.193079
939	6923.705973
940	6915.229733
941	6910.613945
942	6903.047134
943	6895.319535
944	6894.547384
945	6886.966516
946	6876.352808
947	6869.531926
948	6867.100693
949	6859.942722
950	6855.673626
951	6855.408167
952	6850.51826
953	6841.46715
954	6835.808182
955	6829.478929
956	6823.859116
957	6813.299643
958	6813.014919
959	6806.129896
960	6803.042947
961	6797.746582
962	6787.922947
963	6783.292468
964	6777.133808
965	6772.512728
966	6767.681279
967	6763.066061
968	6755.927604
969	6751.246173
970	6746.994373
971	6739.495798
972	6732.302443
973	6728.229455
974	6722.383322
975	6715.792006
976	6708.648259
977	6703.65845
978	6697.399934
979	6692.496042
980	6687.855463
981	6681.937918
982	6675.47044
983	6670.239437
984	6664.224344
985	6658.403468
986	6653.869769
987	6651.043197
988	6643.902663
989	6637.295022
990	6630.475209
991	6623.280807
992	6619.286381
993	6615.447212
994	6607.289654
995	6602.008692
996	6594.894991
997	6589.160112
998	6585.034148
999	6578.890524
43
